receipt_number,datetime
213,2024-05-27 16:04:00
214,2024-05-28 13:24:00
215,2024-05-30 21:36:00
216,2024-06-02 22:38:00
217,2024-06-04 22:04:00
218,2024-06-07 19:23:00
219,2024-06-09 19:19:00
220,2024-06-13 11:27:00
221,2024-06-15 16:50:00
222,2024-06-17 19:58:00
223,2024-06-20 21:57:00
224,2024-06-23 12:55:00
225,2024-06-25 16:31:00
226,2024-06-26 20:24:00
227,2024-06-30 15:19:00
228,2024-07-01 16:41:00
229,2024-07-03 14:00:00
230,2024-07-07 18:36:00
231,2024-07-13 19:28:00
232,2024-07-14 19:23:00
233,2024-07-16 14:35:00
234,2024-07-17 20:34:00
235,2024-07-18 21:45:00
236,2024-07-20 17:36:00
237,2024-07-21 12:56:00
238,2024-07-23 20:32:00
239,2024-07-24 20:10:00
240,2024-07-26 17:11:00
241,2024-07-28 18:01:00
242,2024-07-31 20:24:00
243,2024-08-04 10:44:00
244,2024-08-11 13:31:00
245,2024-08-16 19:34:00
246,2024-08-18 21:03:00
247,2024-08-18 23:19:00
248,2024-08-20 15:05:00
249,2024-08-23 13:20:00
250,2024-08-24 18:27:00
251,2024-08-26 21:03:00
252,2024-08-27 17:41:00
253,2024-08-29 17:58:00
254,2024-08-30 17:31:00
255,2024-09-01 19:12:00
256,2024-09-04 14:45:00
257,2024-09-06 19:31:00
258,2024-09-07 20:27:00
259,2024-09-11 20:49:00
260,2024-09-15 13:09:00
261,2024-09-16 21:08:00
262,2024-09-18 19:42:00
263,2024-09-19 20:21:00
264,2024-09-22 16:38:00
265,2024-09-24 14:59:00
266,2024-09-27 13:29:00
267,2024-09-28 17:44:00
268,2024-09-30 14:44:00
269,2024-10-02 14:50:00
270,2024-10-04 17:44:00
271,2024-10-05 17:06:00
272,2024-10-07 20:37:00
273,2024-10-11 20:03:00
274,2024-10-12 14:46:00
275,2024-10-12 18:03:00
276,2024-10-14 21:40:00
277,2024-10-15 16:04:00
278,2024-10-17 18:44:00
279,2024-10-20 16:24:00
280,2024-10-21 22:19:00
281,2024-10-22 20:38:00
282,2024-10-25 23:20:00
283,2024-10-26 11:17:00
284,2024-10-29 19:40:00
285,2024-10-31 18:51:00
286,2024-11-03 13:18:00
287,2024-11-03 15:35:00
288,2024-11-05 18:49:00
289,2024-11-09 18:50:00
290,2024-11-11 18:34:00
291,2024-11-12 19:49:00
292,2024-11-15 17:44:00
