receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
12,Banan Chiquita,4011,24.9,0.39,kg,9.59
12,Excellence Havssal,3046920029674,11.0,1.0,st,26.9
12,Hönö Jollekaka,7311070003567,17.9,1.0,st,27.9
12,Paneng red curry,7313940012648,39.9,1.0,st,39.9
12,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
12,Taco Spice Mix,7311310031039,15.0,1.0,st,29.9
13,Banan Chiquita,4011,24.9,0.46,kg,11.45
13,Dove Tvål 500ml,4000388179004,10.0,1.0,st,27.9
13,Hönö Jollekaka,7311070003567,17.9,1.0,st,27.9
13,ICA Mat&kök 4-p,7318690069133,31.9,1.0,st,31.9
13,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
14,Fransyska BBQ,2319177500000,89.0,1.15,kg,101.99
14,Nudlar Biff,7350035210114,5.0,2.0,st,11.8
14,Nudlar Kyckling,7350035210107,5.0,2.0,st,11.8
14,Nudlar Svamp,7350035210152,5.0,1.0,st,5.9
15,Banan Chiquita,4011,24.9,0.42,kg,10.58
15,Colgate Tandb 1p,5000209216511,9.0,1.0,st,18.9
15,Färskkorv Kolbasz,7300209556005,29.9,1.0,st,29.9
15,Kvarg vanilj Lfri,7310867548663,16.9,3.0,st,50.7
15,Levain,7311070008159,39.9,1.0,st,39.9
15,Läsk,7310401046723,6.0,4.0,st,20.0
15,Läsk,7310401046723,6.0,1.0,st,5.0
15,Morot nyskördade,7318693325106,6.0,1.0,st,12.9
15,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
15,Sweet chili kyckl.,7313940012617,59.9,1.0,st,59.9
15,Tandkr Sens White,8718951312531,17.9,1.0,st,17.9
15,Ägg frigående S,7318690102861,42.9,1.0,st,42.9
16,A-fil+,7318690494447,10.0,1.0,st,10.0
16,Banan Chiquita,4011,24.9,0.35,kg,8.72
16,Coca-Cola zero,5449000133328,11.0,1.0,st,16.9
16,Fiori,7350027794929,11.0,1.0,st,11.0
16,Kabanoss Ízletes,7300201949003,24.9,1.0,st,24.9
16,Kvarg vanilj Lfri,7310867548663,16.9,1.0,st,16.9
16,Levain,7311070008159,39.9,1.0,st,39.9
16,Läsk,7310401046723,6.0,2.0,st,10.0
16,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
16,Vetelängder,9013,27.9,1.0,st,27.9
17,Banan Chiquita,4011,24.9,0.34,kg,8.47
17,Big Milk Choklad,8712566101979,7.9,2.0,st,15.8
